+CSCOE+/logon.html,https://shvpn02.sankuai.com/+CSCOE+/logon.html,,35,200,11289,1676,398,text/html; charset=utf-8,249.131093ms,
prod-api/druid/index.html,https://mini.mail.service.lenovo.com.cn/prod-api/druid/index.html,,7415,200,434,14,17,text/html; charset=UTF-8,213.867727ms,
registration,https://minoris.partnerhub.lenovo.com/registration,,7599,200,22198,903,201,text/html; charset=utf-8,374.084489ms,
registration/,https://minoris.partnerhub.lenovo.com/registration/,,7600,200,22198,903,201,text/html; charset=utf-8,256.991733ms,
robots.txt,http://min.lenovo.service.lenovo.com.cn/robots.txt,,7691,200,26,3,2,text/plain; charset=UTF-8,218.583617ms,
robots.txt,http://mini.mail.service.lenovo.com.cn/robots.txt,,7691,200,26,3,2,text/plain; charset=UTF-8,224.826982ms,
robots.txt,https://min.lenovo.service.lenovo.com.cn/robots.txt,,7691,200,26,3,2,text/plain; charset=UTF-8,215.593384ms,
robots.txt,https://mindray.box.lenovo.com/robots.txt,,7691,200,28,3,3,text/plain,222.77916ms,
robots.txt,https://mindrayfile.box.lenovo.com/robots.txt,,7691,200,28,3,3,text/plain,216.694114ms,
robots.txt,https://mini.mail.service.lenovo.com.cn/robots.txt,,7691,200,26,3,2,text/plain; charset=UTF-8,216.904822ms,
robots.txt,https://minsights.box.lenovo.com/robots.txt,,7691,200,28,3,3,text/plain,219.254215ms,
robots.txt,https://minsights.extres.box.lenovo.com/robots.txt,,7691,200,28,3,3,text/plain,215.587012ms,
robots.txt,https://shvpn02.sankuai.com/robots.txt,,7691,200,26,3,3,text/plain; charset=utf-8,261.229385ms,
robots.txt.dist,https://shvpn02.sankuai.com/robots.txt.dist,,7692,200,26,3,3,text/plain; charset=utf-8,195.040818ms,
sample,https://minsights.lenovo.com/sample,,7730,200,18,1,1,application/json; charset=utf-8,366.96189ms,
st.php,https://mindray.box.lenovo.com/st.php,,8221,200,1,1,2,text/html,218.370901ms,
st.php,https://mindrayfile.box.lenovo.com/st.php,,8221,200,1,1,2,text/html,216.457331ms,
st.php,https://minsights.box.lenovo.com/st.php,,8221,200,1,1,2,text/html,215.377619ms,
st.php,https://minsights.extres.box.lenovo.com/st.php,,8221,200,1,1,2,text/html,233.709426ms,
swagger,http://min.lenovo.service.lenovo.com.cn/swagger,,8363,200,434,14,17,text/html; charset=UTF-8,233.763244ms,
swagger,http://mini.mail.service.lenovo.com.cn/swagger,,8363,200,434,14,17,text/html; charset=UTF-8,217.19703ms,
swagger,https://min.lenovo.service.lenovo.com.cn/swagger,,8363,200,434,14,17,text/html; charset=UTF-8,214.886282ms,
swagger,https://mini.mail.service.lenovo.com.cn/swagger,,8363,200,434,14,17,text/html; charset=UTF-8,218.951379ms,
swagger/index.html,http://min.lenovo.service.lenovo.com.cn/swagger/index.html,,8370,200,434,14,17,text/html; charset=UTF-8,215.921343ms,
swagger/index.html,http://mini.mail.service.lenovo.com.cn/swagger/index.html,,8370,200,434,14,17,text/html; charset=UTF-8,218.039466ms,
swagger/index.html,https://min.lenovo.service.lenovo.com.cn/swagger/index.html,,8370,200,434,14,17,text/html; charset=UTF-8,218.030205ms,
swagger/index.html,https://mini.mail.service.lenovo.com.cn/swagger/index.html,,8370,200,434,14,17,text/html; charset=UTF-8,217.857283ms,
user.html,https://minsights.lenovo.com/users/user.html,,8854,200,2735,862,71,text/html; charset=UTF-8,815.622715ms,
user/login/,https://mindray.box.lenovo.com/user/login/,,8866,200,1004,42,1,text/html,232.496543ms,
